7,2.34599,0.820888,,Data Point,Avg Dist -1,Avg Dist +1
2,1.44847,1.58555,,0,0.990482217,1.784852799
1,0.519796,2.47299,,1,0.901489917,2.046677586
0,0.671852,1.98369,,2,1.389735911,1.51954354
4,1.35492,1.31843,,3,1.809383024,1.295254394
1,0.817569,2.14357,,4,1.450834549,1.36450694
4,1.59543,1.22849,,5,1.355842462,1.585666368
9,1.16478,1.37239,,6,0.396513396,2.557607098
5,0.9175,1.86324,,7,2.042474397,0.984692504
9,2.24888,0.749989,,8,1.312848782,1.432030665
0,0.776572,1.80375,,9,2.158590591,0.858091808
6,0.37128,2.53581,,,,
9,2.27325,0.728778,,,,
0,1.32552,1.23206,,,,
1,0.6213,2.3111,,,,
5,1.26754,1.79707,,,,
9,1.98744,0.794487,,,,
7,2.45775,0.869692,,,,
3,0.883799,1.79004,,,,
4,1.73843,0.956937,,,,
9,2.22062,0.742766,,,,
6,0.386075,2.47937,,,,
6,0.332437,2.50706,,,,
5,1.78552,1.43538,,,,
4,1.05873,1.5439,,,,
0,0.719857,2.32124,,,,
7,1.95566,0.969207,,,,
4,1.6604,1.08598,,,,
0,2.00629,1.23211,,,,
1,1.27923,1.66211,,,,
3,2.18556,1.14799,,,,
1,1.16777,1.80757,,,,
3,1.82501,1.26788,,,,
4,0.765983,1.99594,,,,
7,3.02939,0.814775,,,,
2,1.45964,1.52037,,,,
7,1.65581,1.25649,,,,
1,1.39251,1.90953,,,,
2,1.37236,1.56916,,,,
1,0.573811,2.37566,,,,
1,1.22124,1.95713,,,,
7,1.90339,0.999483,,,,
4,1.46659,1.2802,,,,
2,1.0416,1.756,,,,
3,1.53395,1.31429,,,,
5,0.844949,1.8543,,,,
1,1.04783,1.75031,,,,
2,1.13093,1.36479,,,,
4,1.56121,1.18504,,,,
4,1.93191,0.97597,,,,
6,0.443423,2.37998,,,,
3,1.32107,1.41529,,,,
5,1.84116,1.67306,,,,
5,0.98006,1.70004,,,,
6,0.456778,2.44931,,,,
0,1.15777,1.63215,,,,
4,1.48979,1.21664,,,,
1,0.831552,2.1428,,,,
9,2.4615,0.603881,,,,
5,1.6545,1.52767,,,,
7,2.10397,0.96422,,,,
8,1.34271,1.60994,,,,
9,2.00499,1.06495,,,,
3,2.32437,1.40117,,,,
7,2.7411,1.31285,,,,
4,1.44849,1.48025,,,,
6,0.537304,2.25746,,,,
4,1.47546,1.13015,,,,
3,1.88632,0.775363,,,,
