2017-06-30 16:21:48.986380: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-30 16:21:48.986422: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-30 16:21:48.986429: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-06-30 16:21:48.986433: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-06-30 16:21:48.986437: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-06-30 16:21:49.366665: I tensorflow/core/common_runtime/gpu/gpu_device.cc:887] Found device 0 with properties: 
name: Tesla K40m
major: 3 minor: 5 memoryClockRate (GHz) 0.8755
pciBusID 0000:81:00.0
Total memory: 11.92GiB
Free memory: 9.34GiB
2017-06-30 16:21:49.366714: I tensorflow/core/common_runtime/gpu/gpu_device.cc:908] DMA: 0 
2017-06-30 16:21:49.366726: I tensorflow/core/common_runtime/gpu/gpu_device.cc:918] 0:   Y 
2017-06-30 16:21:49.366739: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K40m, pci bus id: 0000:81:00.0)
Iteration: 100
Loss: 156.441
Accuracy: 0.04
Iteration: 200
Loss: 139.396
Accuracy: 0.16
Iteration: 300
Loss: 127.988
Accuracy: 0.28
Iteration: 400
Loss: 123.754
Accuracy: 0.08
Iteration: 500
Loss: 115.277
Accuracy: 0.16
Independent Test set: 0.1419
Iteration: 600
Loss: 105.536
Accuracy: 0.36
Iteration: 700
Loss: 103.229
Accuracy: 0.24
Iteration: 800
Loss: 107.233
Accuracy: 0.24
Iteration: 900
Loss: 100.233
Accuracy: 0.28
Iteration: 1000
Loss: 101.498
Accuracy: 0.32
Independent Test set: 0.3428
Iteration: 1100
Loss: 103.399
Accuracy: 0.16
Iteration: 1200
Loss: 101.204
Accuracy: 0.28
Iteration: 1300
Loss: 97.8311
Accuracy: 0.36
Iteration: 1400
Loss: 98.6164
Accuracy: 0.4
Iteration: 1500
Loss: 100.025
Accuracy: 0.2
Independent Test set: 0.3696
Iteration: 1600
Loss: 95.7146
Accuracy: 0.4
Iteration: 1700
Loss: 92.6204
Accuracy: 0.4
Iteration: 1800
Loss: 100.34
Accuracy: 0.32
Iteration: 1900
Loss: 95.2507
Accuracy: 0.4
Iteration: 2000
Loss: 90.0002
Accuracy: 0.48
Independent Test set: 0.4089
Iteration: 2100
Loss: 96.7528
Accuracy: 0.4
Iteration: 2200
Loss: 99.8019
Accuracy: 0.36
Iteration: 2300
Loss: 96.884
Accuracy: 0.32
Iteration: 2400
Loss: 98.6307
Accuracy: 0.36
Iteration: 2500
Loss: 96.3146
Accuracy: 0.44
Independent Test set: 0.427
Iteration: 2600
Loss: 87.6794
Accuracy: 0.56
Iteration: 2700
Loss: 89.3733
Accuracy: 0.4
Iteration: 2800
Loss: 92.3946
Accuracy: 0.56
Iteration: 2900
Loss: 95.3121
Accuracy: 0.4
Iteration: 3000
Loss: 84.559
Accuracy: 0.48
Independent Test set: 0.4245
Iteration: 3100
Loss: 88.5068
Accuracy: 0.44
Iteration: 3200
Loss: 100.678
Accuracy: 0.32
Iteration: 3300
Loss: 93.3554
Accuracy: 0.44
Iteration: 3400
Loss: 85.9191
Accuracy: 0.56
Iteration: 3500
Loss: 90.9648
Accuracy: 0.52
Independent Test set: 0.4622
Iteration: 3600
Loss: 90.5575
Accuracy: 0.6
Iteration: 3700
Loss: 86.4095
Accuracy: 0.52
Iteration: 3800
Loss: 85.1657
Accuracy: 0.56
Iteration: 3900
Loss: 94.4257
Accuracy: 0.44
Iteration: 4000
Loss: 91.4095
Accuracy: 0.48
Independent Test set: 0.4822
Iteration: 4100
Loss: 93.0553
Accuracy: 0.36
Iteration: 4200
Loss: 84.0919
Accuracy: 0.56
Iteration: 4300
Loss: 82.1604
Accuracy: 0.6
Iteration: 4400
Loss: 80.2001
Accuracy: 0.44
Iteration: 4500
Loss: 90.1711
Accuracy: 0.4
Independent Test set: 0.4998
Iteration: 4600
Loss: 85.9182
Accuracy: 0.52
Iteration: 4700
Loss: 83.8787
Accuracy: 0.56
Iteration: 4800
Loss: 88.2239
Accuracy: 0.44
Iteration: 4900
Loss: 91.9489
Accuracy: 0.28
Iteration: 5000
Loss: 84.4309
Accuracy: 0.56
Independent Test set: 0.5075
Iteration: 5100
Loss: 82.2122
Accuracy: 0.52
Iteration: 5200
Loss: 80.0146
Accuracy: 0.56
Iteration: 5300
Loss: 88.188
Accuracy: 0.32
Iteration: 5400
Loss: 81.1381
Accuracy: 0.64
Iteration: 5500
Loss: 79.2673
Accuracy: 0.56
Independent Test set: 0.5006
Iteration: 5600
Loss: 82.1086
Accuracy: 0.52
Iteration: 5700
Loss: 76.8201
Accuracy: 0.64
Iteration: 5800
Loss: 86.9831
Accuracy: 0.44
Iteration: 5900
Loss: 86.2958
Accuracy: 0.44
Iteration: 6000
Loss: 85.7283
Accuracy: 0.44
Independent Test set: 0.5208
Iteration: 6100
Loss: 82.9669
Accuracy: 0.6
Iteration: 6200
Loss: 91.4178
Accuracy: 0.32
Iteration: 6300
Loss: 80.1761
Accuracy: 0.56
Iteration: 6400
Loss: 79.4282
Accuracy: 0.52
Iteration: 6500
Loss: 76.3064
Accuracy: 0.68
Independent Test set: 0.5212
Iteration: 6600
Loss: 71.4763
Accuracy: 0.56
Iteration: 6700
Loss: 80.7121
Accuracy: 0.44
Iteration: 6800
Loss: 69.1509
Accuracy: 0.68
Iteration: 6900
Loss: 79.1314
Accuracy: 0.64
Iteration: 7000
Loss: 83.4116
Accuracy: 0.32
Independent Test set: 0.5249
Iteration: 7100
Loss: 76.3232
Accuracy: 0.52
Iteration: 7200
Loss: 83.5551
Accuracy: 0.48
Iteration: 7300
Loss: 79.2578
Accuracy: 0.6
Iteration: 7400
Loss: 82.4311
Accuracy: 0.48
Iteration: 7500
Loss: 70.9283
Accuracy: 0.72
Independent Test set: 0.532
Iteration: 7600
Loss: 78.1009
Accuracy: 0.52
Iteration: 7700
Loss: 77.3466
Accuracy: 0.52
Iteration: 7800
Loss: 75.4328
Accuracy: 0.64
Iteration: 7900
Loss: 78.7962
Accuracy: 0.6
Iteration: 8000
Loss: 82.3966
Accuracy: 0.44
Independent Test set: 0.5347
Iteration: 8100
Loss: 78.546
Accuracy: 0.56
Iteration: 8200
Loss: 72.4314
Accuracy: 0.64
Iteration: 8300
Loss: 75.3875
Accuracy: 0.64
Iteration: 8400
Loss: 78.9822
Accuracy: 0.48
Iteration: 8500
Loss: 72.2518
Accuracy: 0.6
Independent Test set: 0.5385
Iteration: 8600
Loss: 78.6154
Accuracy: 0.52
Iteration: 8700
Loss: 72.0658
Accuracy: 0.56
Iteration: 8800
Loss: 74.0349
Accuracy: 0.56
Iteration: 8900
Loss: 74.1957
Accuracy: 0.56
Iteration: 9000
Loss: 76.4529
Accuracy: 0.48
Independent Test set: 0.5404
Iteration: 9100
Loss: 77.8164
Accuracy: 0.44
Iteration: 9200
Loss: 80.6798
Accuracy: 0.44
Iteration: 9300
Loss: 72.2507
Accuracy: 0.6
Iteration: 9400
Loss: 77.5528
Accuracy: 0.6
Iteration: 9500
Loss: 78.2056
Accuracy: 0.4
Independent Test set: 0.5625
Iteration: 9600
Loss: 69.9777
Accuracy: 0.64
Iteration: 9700
Loss: 76.2919
Accuracy: 0.56
Iteration: 9800
Loss: 77.3949
Accuracy: 0.4
Iteration: 9900
Loss: 79.2494
Accuracy: 0.44
Iteration: 10000
Loss: 76.0444
Accuracy: 0.76
Independent Test set: 0.598
Iteration: 10100
Loss: 68.1935
Accuracy: 0.72
Iteration: 10200
Loss: 75.8254
Accuracy: 0.6
Iteration: 10300
Loss: 74.5685
Accuracy: 0.6
Iteration: 10400
Loss: 68.7067
Accuracy: 0.6
Iteration: 10500
Loss: 67.3515
Accuracy: 0.72
Independent Test set: 0.5973
Iteration: 10600
Loss: 69.3263
Accuracy: 0.76
Iteration: 10700
Loss: 72.8105
Accuracy: 0.52
Iteration: 10800
Loss: 70.8848
Accuracy: 0.68
Iteration: 10900
Loss: 73.212
Accuracy: 0.56
Iteration: 11000
Loss: 75.2988
Accuracy: 0.56
Independent Test set: 0.5907
Iteration: 11100
Loss: 79.5176
Accuracy: 0.44
Iteration: 11200
Loss: 70.9996
Accuracy: 0.64
Iteration: 11300
Loss: 68.2288
Accuracy: 0.68
Iteration: 11400
Loss: 71.2107
Accuracy: 0.6
Iteration: 11500
Loss: 67.0291
Accuracy: 0.64
Independent Test set: 0.5967
Iteration: 11600
Loss: 79.0777
Accuracy: 0.44
Iteration: 11700
Loss: 72.3433
Accuracy: 0.64
Iteration: 11800
Loss: 68.7601
Accuracy: 0.6
Iteration: 11900
Loss: 74.9219
Accuracy: 0.64
Iteration: 12000
Loss: 75.5036
Accuracy: 0.56
Independent Test set: 0.6091
Iteration: 12100
Loss: 76.1883
Accuracy: 0.36
Iteration: 12200
Loss: 70.8424
Accuracy: 0.68
Iteration: 12300
Loss: 74.9738
Accuracy: 0.64
Iteration: 12400
Loss: 76.456
Accuracy: 0.56
Iteration: 12500
Loss: 74.6273
Accuracy: 0.6
Independent Test set: 0.6114
Iteration: 12600
Loss: 62.6238
Accuracy: 0.68
Iteration: 12700
Loss: 76.0336
Accuracy: 0.44
Iteration: 12800
Loss: 64.6824
Accuracy: 0.76
Iteration: 12900
Loss: 74.2972
Accuracy: 0.44
Iteration: 13000
Loss: 67.4982
Accuracy: 0.6
Independent Test set: 0.6102
Iteration: 13100
Loss: 74.0756
Accuracy: 0.52
Iteration: 13200
Loss: 67.4185
Accuracy: 0.68
Iteration: 13300
Loss: 74.9198
Accuracy: 0.6
Iteration: 13400
Loss: 70.7426
Accuracy: 0.56
Iteration: 13500
Loss: 70.1631
Accuracy: 0.6
Independent Test set: 0.6089
Iteration: 13600
Loss: 63.364
Accuracy: 0.72
Iteration: 13700
Loss: 68.2319
Accuracy: 0.72
Iteration: 13800
Loss: 82.835
Accuracy: 0.28
Iteration: 13900
Loss: 70.3271
Accuracy: 0.72
Iteration: 14000
Loss: 72.3278
Accuracy: 0.64
Independent Test set: 0.6028
Iteration: 14100
Loss: 68.7565
Accuracy: 0.56
Iteration: 14200
Loss: 69.1349
Accuracy: 0.72
Iteration: 14300
Loss: 74.0216
Accuracy: 0.56
Iteration: 14400
Loss: 69.7606
Accuracy: 0.52
Iteration: 14500
Loss: 70.296
Accuracy: 0.56
Independent Test set: 0.603
Iteration: 14600
Loss: 71.5275
Accuracy: 0.6
Iteration: 14700
Loss: 69.3809
Accuracy: 0.56
Iteration: 14800
Loss: 70.776
Accuracy: 0.6
Iteration: 14900
Loss: 71.0144
Accuracy: 0.6
Iteration: 15000
Loss: 69.1691
Accuracy: 0.56
Independent Test set: 0.6008
Iteration: 15100
Loss: 60.758
Accuracy: 0.68
Iteration: 15200
Loss: 65.933
Accuracy: 0.72
Iteration: 15300
Loss: 63.2705
Accuracy: 0.76
Iteration: 15400
Loss: 72.1394
Accuracy: 0.64
Iteration: 15500
Loss: 71.8519
Accuracy: 0.56
Independent Test set: 0.6071
Iteration: 15600
Loss: 70.1947
Accuracy: 0.48
Iteration: 15700
Loss: 64.0315
Accuracy: 0.68
Iteration: 15800
Loss: 70.695
Accuracy: 0.64
Iteration: 15900
Loss: 70.4363
Accuracy: 0.52
Iteration: 16000
Loss: 67.9789
Accuracy: 0.6
Independent Test set: 0.609
Iteration: 16100
Loss: 72.3832
Accuracy: 0.56
Iteration: 16200
Loss: 68.0819
Accuracy: 0.68
Iteration: 16300
Loss: 71.8398
Accuracy: 0.68
Iteration: 16400
Loss: 69.7554
Accuracy: 0.6
Iteration: 16500
Loss: 70.1961
Accuracy: 0.48
Independent Test set: 0.6174
Iteration: 16600
Loss: 74.5604
Accuracy: 0.56
Iteration: 16700
Loss: 66.861
Accuracy: 0.56
Iteration: 16800
Loss: 65.8148
Accuracy: 0.68
Iteration: 16900
Loss: 70.9785
Accuracy: 0.64
Iteration: 17000
Loss: 67.8767
Accuracy: 0.64
Independent Test set: 0.6361
Iteration: 17100
Loss: 69.3109
Accuracy: 0.6
Iteration: 17200
Loss: 68.6204
Accuracy: 0.6
Iteration: 17300
Loss: 71.1993
Accuracy: 0.56
Iteration: 17400
Loss: 65.743
Accuracy: 0.64
Iteration: 17500
Loss: 71.1021
Accuracy: 0.72
Independent Test set: 0.6245
Iteration: 17600
Loss: 63.2447
Accuracy: 0.84
Iteration: 17700
Loss: 66.9779
Accuracy: 0.64
Iteration: 17800
Loss: 60.8265
Accuracy: 0.72
Iteration: 17900
Loss: 71.845
Accuracy: 0.64
Iteration: 18000
Loss: 66.9507
Accuracy: 0.68
Independent Test set: 0.6127
Iteration: 18100
Loss: 68.9966
Accuracy: 0.6
Iteration: 18200
Loss: 68.8395
Accuracy: 0.64
Iteration: 18300
Loss: 69.9501
Accuracy: 0.48
Iteration: 18400
Loss: 68.0139
Accuracy: 0.52
Iteration: 18500
Loss: 64.0276
Accuracy: 0.72
Independent Test set: 0.6103
Iteration: 18600
Loss: 72.8826
Accuracy: 0.56
Iteration: 18700
Loss: 67.532
Accuracy: 0.72
Iteration: 18800
Loss: 63.6502
Accuracy: 0.68
Iteration: 18900
Loss: 63.6292
Accuracy: 0.72
Iteration: 19000
Loss: 69.1151
Accuracy: 0.56
Independent Test set: 0.6335
Iteration: 19100
Loss: 67.7614
Accuracy: 0.68
Iteration: 19200
Loss: 67.0281
Accuracy: 0.52
Iteration: 19300
Loss: 69.7146
Accuracy: 0.6
Iteration: 19400
Loss: 65.7435
Accuracy: 0.72
Iteration: 19500
Loss: 67.3425
Accuracy: 0.72
Independent Test set: 0.6386
Iteration: 19600
Loss: 69.1548
Accuracy: 0.56
Iteration: 19700
Loss: 71.7433
Accuracy: 0.56
Iteration: 19800
Loss: 70.7044
Accuracy: 0.64
Iteration: 19900
Loss: 68.1147
Accuracy: 0.68
Iteration: 20000
Loss: 64.2588
Accuracy: 0.56
Independent Test set: 0.6197
Iteration: 20100
Loss: 65.69
Accuracy: 0.64
Iteration: 20200
Loss: 68.8822
Accuracy: 0.52
Iteration: 20300
Loss: 72.6987
Accuracy: 0.6
Iteration: 20400
Loss: 67.5449
Accuracy: 0.64
Iteration: 20500
Loss: 57.6147
Accuracy: 0.88
Independent Test set: 0.6058
Iteration: 20600
Loss: 69.7085
Accuracy: 0.72
Iteration: 20700
Loss: 68.8664
Accuracy: 0.68
Iteration: 20800
Loss: 64.0101
Accuracy: 0.76
Iteration: 20900
Loss: 66.4594
Accuracy: 0.68
Iteration: 21000
Loss: 65.1563
Accuracy: 0.8
Independent Test set: 0.6391
Iteration: 21100
Loss: 65.6627
Accuracy: 0.64
Iteration: 21200
Loss: 65.022
Accuracy: 0.64
Iteration: 21300
Loss: 69.9158
Accuracy: 0.68
Iteration: 21400
Loss: 65.3912
Accuracy: 0.68
Iteration: 21500
Loss: 63.6118
Accuracy: 0.76
Independent Test set: 0.6433
Iteration: 21600
Loss: 65.1229
Accuracy: 0.76
Iteration: 21700
Loss: 71.2604
Accuracy: 0.56
Iteration: 21800
Loss: 68.1972
Accuracy: 0.68
Iteration: 21900
Loss: 69.7875
Accuracy: 0.52
Iteration: 22000
Loss: 68.2214
Accuracy: 0.64
Independent Test set: 0.6289
Iteration: 22100
Loss: 70.4407
Accuracy: 0.6
Iteration: 22200
Loss: 66.391
Accuracy: 0.6
Iteration: 22300
Loss: 65.7071
Accuracy: 0.6
Iteration: 22400
Loss: 73.5082
Accuracy: 0.52
Iteration: 22500
Loss: 66.0812
Accuracy: 0.68
Independent Test set: 0.625
Iteration: 22600
Loss: 65.8227
Accuracy: 0.68
Iteration: 22700
Loss: 59.5146
Accuracy: 0.8
Iteration: 22800
Loss: 67.3843
Accuracy: 0.64
Iteration: 22900
Loss: 69.4662
Accuracy: 0.68
Iteration: 23000
Loss: 69.7399
Accuracy: 0.72
Independent Test set: 0.6362
Iteration: 23100
Loss: 63.0877
Accuracy: 0.76
Iteration: 23200
Loss: 61.9716
Accuracy: 0.8
Iteration: 23300
Loss: 67.7199
Accuracy: 0.64
Iteration: 23400
Loss: 67.9887
Accuracy: 0.68
Iteration: 23500
Loss: 63.3299
Accuracy: 0.76
Independent Test set: 0.6575
Iteration: 23600
Loss: 61.9995
Accuracy: 0.72
Iteration: 23700
Loss: 71.9622
Accuracy: 0.52
Iteration: 23800
Loss: 70.5263
Accuracy: 0.56
Iteration: 23900
Loss: 73.2475
Accuracy: 0.4
Iteration: 24000
Loss: 69.2606
Accuracy: 0.52
Independent Test set: 0.6365
Iteration: 24100
Loss: 64.8575
Accuracy: 0.8
Iteration: 24200
Loss: 69.6069
Accuracy: 0.6
Iteration: 24300
Loss: 68.5792
Accuracy: 0.68
Iteration: 24400
Loss: 69.0026
Accuracy: 0.48
Iteration: 24500
Loss: 65.0002
Accuracy: 0.76
Independent Test set: 0.6679
Iteration: 24600
Loss: 61.6665
Accuracy: 0.84
Iteration: 24700
Loss: 67.2344
Accuracy: 0.64
Iteration: 24800
Loss: 63.669
Accuracy: 0.72
Iteration: 24900
Loss: 69.3439
Accuracy: 0.6
Iteration: 25000
Loss: 64.6751
Accuracy: 0.72
Independent Test set: 0.664
Iteration: 25100
Loss: 66.0365
Accuracy: 0.64
Iteration: 25200
Loss: 73.5712
Accuracy: 0.48
Iteration: 25300
Loss: 66.1995
Accuracy: 0.64
Iteration: 25400
Loss: 65.6337
Accuracy: 0.72
Iteration: 25500
Loss: 65.1282
Accuracy: 0.64
Independent Test set: 0.6478
Iteration: 25600
Loss: 66.975
Accuracy: 0.68
Iteration: 25700
Loss: 71.2194
Accuracy: 0.6
Iteration: 25800
Loss: 63.3055
Accuracy: 0.72
Iteration: 25900
Loss: 65.3283
Accuracy: 0.76
Iteration: 26000
Loss: 68.9535
Accuracy: 0.72
Independent Test set: 0.6626
Iteration: 26100
Loss: 64.0304
Accuracy: 0.8
Iteration: 26200
Loss: 67.8214
Accuracy: 0.68
Iteration: 26300
Loss: 68.7081
Accuracy: 0.68
Iteration: 26400
Loss: 65.1359
Accuracy: 0.64
Iteration: 26500
Loss: 65.8758
Accuracy: 0.64
Independent Test set: 0.6639
Iteration: 26600
Loss: 65.6783
Accuracy: 0.68
Iteration: 26700
Loss: 71.7357
Accuracy: 0.52
Iteration: 26800
Loss: 74.3468
Accuracy: 0.48
Iteration: 26900
Loss: 66.525
Accuracy: 0.68
Iteration: 27000
Loss: 63.7118
Accuracy: 0.68
Independent Test set: 0.6593
Iteration: 27100
Loss: 63.8192
Accuracy: 0.68
Iteration: 27200
Loss: 62.883
Accuracy: 0.76
Iteration: 27300
Loss: 66.4062
Accuracy: 0.64
Iteration: 27400
Loss: 65.5965
Accuracy: 0.8
Iteration: 27500
Loss: 67.7292
Accuracy: 0.64
Independent Test set: 0.6685
Iteration: 27600
Loss: 67.5459
Accuracy: 0.64
Iteration: 27700
Loss: 61.6301
Accuracy: 0.72
Iteration: 27800
Loss: 64.0225
Accuracy: 0.76
Iteration: 27900
Loss: 60.3519
Accuracy: 0.76
Iteration: 28000
Loss: 70.403
Accuracy: 0.56
Independent Test set: 0.6602
Iteration: 28100
Loss: 66.4244
Accuracy: 0.64
Iteration: 28200
Loss: 68.3583
Accuracy: 0.64
Iteration: 28300
Loss: 65.3726
Accuracy: 0.64
Iteration: 28400
Loss: 66.2792
Accuracy: 0.72
Iteration: 28500
Loss: 59.2339
Accuracy: 0.8
Independent Test set: 0.6568
Iteration: 28600
Loss: 67.308
Accuracy: 0.64
Iteration: 28700
Loss: 67.7354
Accuracy: 0.68
Iteration: 28800
Loss: 60.7489
Accuracy: 0.8
Iteration: 28900
Loss: 68.9704
Accuracy: 0.56
Iteration: 29000
Loss: 65.492
Accuracy: 0.6
Independent Test set: 0.6689
Iteration: 29100
Loss: 65.8411
Accuracy: 0.68
Iteration: 29200
Loss: 60.537
Accuracy: 0.68
Iteration: 29300
Loss: 62.3803
Accuracy: 0.72
Iteration: 29400
Loss: 63.3894
Accuracy: 0.72
Iteration: 29500
Loss: 69.4944
Accuracy: 0.6
Independent Test set: 0.6721
Iteration: 29600
Loss: 71.4703
Accuracy: 0.64
Iteration: 29700
Loss: 57.3061
Accuracy: 0.88
Iteration: 29800
Loss: 59.7123
Accuracy: 0.8
Iteration: 29900
Loss: 66.2907
Accuracy: 0.6
Iteration: 30000
Loss: 71.3461
Accuracy: 0.56
Independent Test set: 0.664
Iteration: 30100
Loss: 63.8011
Accuracy: 0.68
Iteration: 30200
Loss: 59.47
Accuracy: 0.84
Iteration: 30300
Loss: 65.907
Accuracy: 0.64
Iteration: 30400
Loss: 64.0092
Accuracy: 0.72
Iteration: 30500
Loss: 60.5139
Accuracy: 0.8
Independent Test set: 0.6842
Iteration: 30600
Loss: 63.9033
Accuracy: 0.8
Iteration: 30700
Loss: 65.0391
Accuracy: 0.68
Iteration: 30800
Loss: 61.385
Accuracy: 0.76
Iteration: 30900
Loss: 69.2793
Accuracy: 0.52
Iteration: 31000
Loss: 65.1663
Accuracy: 0.64
Independent Test set: 0.6922
Iteration: 31100
Loss: 65.6289
Accuracy: 0.6
Iteration: 31200
Loss: 57.9598
Accuracy: 0.84
Iteration: 31300
Loss: 58.7151
Accuracy: 0.76
Iteration: 31400
Loss: 67.4435
Accuracy: 0.6
Iteration: 31500
Loss: 63.4768
Accuracy: 0.64
Independent Test set: 0.6892
Iteration: 31600
Loss: 56.884
Accuracy: 0.76
Iteration: 31700
Loss: 62.6294
Accuracy: 0.72
Iteration: 31800
Loss: 61.0011
Accuracy: 0.8
Iteration: 31900
Loss: 64.8664
Accuracy: 0.64
Iteration: 32000
Loss: 67.5648
Accuracy: 0.72
Independent Test set: 0.6872
Iteration: 32100
Loss: 65.1404
Accuracy: 0.84
Iteration: 32200
Loss: 56.6006
Accuracy: 0.84
Iteration: 32300
Loss: 62.8926
Accuracy: 0.68
Iteration: 32400
Loss: 69.7398
Accuracy: 0.56
Iteration: 32500
Loss: 57.5144
Accuracy: 0.76
Independent Test set: 0.68
Iteration: 32600
Loss: 65.2741
Accuracy: 0.64
Iteration: 32700
Loss: 65.2056
Accuracy: 0.6
Iteration: 32800
Loss: 62.7044
Accuracy: 0.72
Iteration: 32900
Loss: 61.834
Accuracy: 0.56
Iteration: 33000
Loss: 63.7262
Accuracy: 0.72
Independent Test set: 0.7029
Iteration: 33100
Loss: 64.5674
Accuracy: 0.64
Iteration: 33200
Loss: 59.1037
Accuracy: 0.68
Iteration: 33300
Loss: 66.3309
Accuracy: 0.68
Iteration: 33400
Loss: 65.2583
Accuracy: 0.6
Iteration: 33500
Loss: 61.2786
Accuracy: 0.76
Independent Test set: 0.7038
Iteration: 33600
Loss: 58.7692
Accuracy: 0.8
Iteration: 33700
Loss: 58.784
Accuracy: 0.72
Iteration: 33800
Loss: 67.8678
Accuracy: 0.6
Iteration: 33900
Loss: 68.4465
Accuracy: 0.6
Iteration: 34000
Loss: 57.6473
Accuracy: 0.8
Independent Test set: 0.7084
Iteration: 34100
Loss: 67.5004
Accuracy: 0.68
Iteration: 34200
Loss: 52.3343
Accuracy: 0.88
Iteration: 34300
Loss: 60.6951
Accuracy: 0.8
Iteration: 34400
Loss: 59.2089
Accuracy: 0.68
Iteration: 34500
Loss: 65.2627
Accuracy: 0.64
Independent Test set: 0.6997
Iteration: 34600
Loss: 71.8124
Accuracy: 0.44
Iteration: 34700
Loss: 68.2954
Accuracy: 0.52
Iteration: 34800
Loss: 58.5857
Accuracy: 0.8
Iteration: 34900
Loss: 61.7501
Accuracy: 0.68
Iteration: 35000
Loss: 58.5853
Accuracy: 0.88
Independent Test set: 0.6899
Iteration: 35100
Loss: 57.13
Accuracy: 0.76
Iteration: 35200
Loss: 62.4867
Accuracy: 0.68
Iteration: 35300
Loss: 61.2355
Accuracy: 0.68
Iteration: 35400
Loss: 64.6005
Accuracy: 0.6
Iteration: 35500
Loss: 66.6789
Accuracy: 0.6
Independent Test set: 0.7085
Iteration: 35600
Loss: 56.6967
Accuracy: 0.88
Iteration: 35700
Loss: 66.6753
Accuracy: 0.68
Iteration: 35800
Loss: 69.1509
Accuracy: 0.64
Iteration: 35900
Loss: 61.4679
Accuracy: 0.68
Iteration: 36000
Loss: 61.69
Accuracy: 0.76
Independent Test set: 0.7126
Iteration: 36100
Loss: 64.6342
Accuracy: 0.72
Iteration: 36200
Loss: 61.1835
Accuracy: 0.6
Iteration: 36300
Loss: 61.0157
Accuracy: 0.72
Iteration: 36400
Loss: 58.634
Accuracy: 0.8
Iteration: 36500
Loss: 58.1805
Accuracy: 0.76
Independent Test set: 0.7068
Iteration: 36600
Loss: 63.7517
Accuracy: 0.64
Iteration: 36700
Loss: 57.29
Accuracy: 0.8
Iteration: 36800
Loss: 57.8148
Accuracy: 0.76
Iteration: 36900
Loss: 61.3969
Accuracy: 0.76
Iteration: 37000
Loss: 54.7621
Accuracy: 0.76
Independent Test set: 0.7088
Iteration: 37100
Loss: 65.1312
Accuracy: 0.48
Iteration: 37200
Loss: 65.5193
Accuracy: 0.64
Iteration: 37300
Loss: 59.2735
Accuracy: 0.72
Iteration: 37400
Loss: 59.0546
Accuracy: 0.8
Iteration: 37500
Loss: 64.1797
Accuracy: 0.64
Independent Test set: 0.7165
Iteration: 37600
Loss: 60.6405
Accuracy: 0.72
Iteration: 37700
Loss: 60.9016
Accuracy: 0.72
Iteration: 37800
Loss: 59.3068
Accuracy: 0.64
Iteration: 37900
Loss: 62.6293
Accuracy: 0.6
Iteration: 38000
Loss: 59.3676
Accuracy: 0.76
Independent Test set: 0.7077
Iteration: 38100
Loss: 62.3588
Accuracy: 0.72
Iteration: 38200
Loss: 62.6941
Accuracy: 0.56
Iteration: 38300
Loss: 57.9222
Accuracy: 0.76
Iteration: 38400
Loss: 59.2026
Accuracy: 0.76
Iteration: 38500
Loss: 58.1271
Accuracy: 0.72
Independent Test set: 0.7231
Iteration: 38600
Loss: 65.9257
Accuracy: 0.6
Iteration: 38700
Loss: 62.3021
Accuracy: 0.68
Iteration: 38800
Loss: 60.4372
Accuracy: 0.52
Iteration: 38900
Loss: 57.187
Accuracy: 0.88
Iteration: 39000
Loss: 58.2437
Accuracy: 0.68
Independent Test set: 0.7143
Iteration: 39100
Loss: 66.3912
Accuracy: 0.52
Iteration: 39200
Loss: 59.7145
Accuracy: 0.84
Iteration: 39300
Loss: 58.202
Accuracy: 0.8
Iteration: 39400
Loss: 60.6359
Accuracy: 0.6
Iteration: 39500
Loss: 57.2697
Accuracy: 0.72
Independent Test set: 0.6938
Iteration: 39600
Loss: 56.8247
Accuracy: 0.84
Iteration: 39700
Loss: 63.0208
Accuracy: 0.72
Iteration: 39800
Loss: 62.7791
Accuracy: 0.76
